  Terminal log recording to: C:\Users\SERILEG\OneDrive - ABB\Autonomous-docking\MY_NPMC\my work\plots in development process\logs\nmpc_run_20260402_092732_log.txt
  container.m check: u_dot=0.0406, r_dot=0.000000, U=7.00 m/s

  Harbor map loaded: 60 polygons
  Final waypoint is outside mapped forbidden zones
  Map sample points: 3794
  Final waypoint -> nearest map sample: 172.6 m (nominal keepout 115.0 m)
  Dynamic obstacles enabled: 1
  Dynamic replay determinism check: PASS

--- Building NMPC solver (5 obstacle slots) ---
  Hull footprint: oriented rectangle 87.5 m x 12.7 m (clearance 2.0 m)
NMPC_Container_final: N=35, dt=1.00, obs_slots=5
  8-state model: [u v r x y psi n1 n2]
  4 controls: [alpha1 alpha2 n1_c n2_c]
  forward speed constraint: u >= 0.50 m/s
  actuator penalty: 0.0500 | forward incentive: 2.50
  collision: oriented rectangle 87.5 x 12.7 m (clearance 2.0 m)
  nlpsol built: 428 vars, 608 constraints
    - Equalities: 288 (initial + dynamics)
    - Obstacle:   180 (slots × horizon)
    - Rate:       140 (first-step + consecutive)

  Waypoints: (-6100, -1500) (-5700, -1300) (-5400, -1550) (-5200, -2000)   [mode-switch] Would rebuild solver (DISABLED for stability)
  [t=  0.0] pos=(-6093.7,-1496.9) psi= +26.6deg wp=1 xte=+0.0m obs_d=192m ok=1 comp=3910.6ms solve=3839.7ms RT=3.91 obs=5 fb=0
  [t=  1.0] pos=(-6087.4,-1493.7) psi= +26.5deg wp=1 xte=-0.0m obs_d=186m ok=1 comp=3536.2ms solve=3520.2ms RT=3.54 obs=5 fb=0
  [t=  2.0] pos=(-6081.1,-1490.5) psi= +26.5deg wp=1 xte=-0.0m obs_d=181m ok=1 comp=3489.4ms solve=3479.2ms RT=3.49 obs=5 fb=0
  [t=  3.0] pos=(-6074.8,-1487.3) psi= +26.5deg wp=1 xte=-0.0m obs_d=176m ok=1 comp=3386.6ms solve=3374.6ms RT=3.39 obs=5 fb=0
  [t=  4.0] pos=(-6068.5,-1484.1) psi= +26.4deg wp=1 xte=-0.1m obs_d=171m ok=1 comp=3030.9ms solve=2960.7ms RT=3.03 obs=5 fb=0
  [t=  5.0] pos=(-6062.2,-1480.9) psi= +26.4deg wp=1 xte=-0.1m obs_d=166m ok=1 comp=2874.4ms solve=2869.6ms RT=2.87 obs=5 fb=0
  [t=  6.0] pos=(-6056.0,-1477.7) psi= +26.2deg wp=1 xte=-0.2m obs_d=161m ok=1 comp=2983.7ms solve=2978.0ms RT=2.98 obs=5 fb=0
  [t=  7.0] pos=(-6049.7,-1474.5) psi= +26.1deg wp=1 xte=-0.2m obs_d=156m ok=1 comp=4885.3ms solve=4882.3ms RT=4.89 obs=5 fb=0
  [t=  8.0] pos=(-6043.4,-1471.2) psi= +26.0deg wp=1 xte=-0.3m obs_d=150m ok=1 comp=3607.5ms solve=3605.9ms RT=3.61 obs=5 fb=0
  [t=  9.0] pos=(-6037.2,-1467.9) psi= +25.8deg wp=1 xte=-0.5m obs_d=144m ok=1 comp=2912.2ms solve=2911.1ms RT=2.91 obs=5 fb=0
  [t= 10.0] pos=(-6031.0,-1464.6) psi= +25.5deg wp=1 xte=-0.6m obs_d=139m ok=1 comp=2790.2ms solve=2789.2ms RT=2.79 obs=5 fb=0
  [t= 11.0] pos=(-6024.8,-1461.2) psi= +25.2deg wp=1 xte=-0.8m obs_d=134m ok=1 comp=2559.6ms solve=2558.7ms RT=2.56 obs=5 fb=0
  [t= 12.0] pos=(-6018.8,-1457.7) psi= +24.9deg wp=1 xte=-1.1m obs_d=129m ok=1 comp=2779.7ms solve=2778.8ms RT=2.78 obs=5 fb=0
  [t= 13.0] pos=(-6012.8,-1454.2) psi= +24.5deg wp=1 xte=-1.5m obs_d=124m ok=1 comp=2951.9ms solve=2950.8ms RT=2.95 obs=5 fb=0
  [t= 14.0] pos=(-6006.9,-1450.6) psi= +24.0deg wp=1 xte=-2.0m obs_d=120m ok=1 comp=3098.6ms solve=3097.5ms RT=3.10 obs=5 fb=0
  [t= 15.0] pos=(-6001.1,-1446.8) psi= +23.6deg wp=1 xte=-2.6m obs_d=116m ok=1 comp=3259.0ms solve=3257.7ms RT=3.26 obs=5 fb=0
  [t= 16.0] pos=(-5995.6,-1443.0) psi= +23.1deg wp=1 xte=-3.3m obs_d=112m ok=1 comp=4525.1ms solve=4524.1ms RT=4.53 obs=5 fb=0
  [t= 17.0] pos=(-5990.2,-1439.1) psi= +22.6deg wp=1 xte=-4.3m obs_d=110m ok=1 comp=3721.4ms solve=3720.2ms RT=3.72 obs=5 fb=0
  [t= 18.0] pos=(-5984.9,-1435.0) psi= +22.1deg wp=1 xte=-5.4m obs_d=107m ok=1 comp=2980.4ms solve=2979.2ms RT=2.98 obs=5 fb=0
  [t= 19.0] pos=(-5979.8,-1430.9) psi= +21.6deg wp=1 xte=-6.7m obs_d=105m ok=1 comp=2997.5ms solve=2995.2ms RT=3.00 obs=5 fb=0
